date,open,high,low,close,volume
2024-05-02,844.49,862.37,832.0,858.17,37789754.0
2024-05-03,877.89,892.81,870.4,887.89,39834006.0
2024-05-06,893.9,922.2,890.55,921.4,37619900.0
2024-05-07,910.98,917.8099,890.11,905.54,43733574.0
2024-05-08,894.825,911.94,894.2,904.12,32571985.0
2024-05-09,905.29,910.72,882.31,887.47,37801128.0
2024-05-10,903.045,914.01,892.27,898.78,33532466.0
2024-05-13,904.78,909.98,885.29,903.99,28967585.0
2024-05-14,895.99,916.51,889.34,913.56,29650683.0
2024-05-15,924.72,948.62,915.99,946.3,41773471.0
2024-05-16,949.1,958.1899,941.03,943.59,32394266.0
2024-05-17,943.69,947.4,918.06,924.79,35968949.0
2024-05-20,937.5,952.0,934.4,947.8,31876363.0
2024-05-21,935.99,954.0,931.8,953.86,32894573.0
2024-05-22,954.59,960.2,932.49,949.5,54864391.0
2024-05-23,1020.28,1063.2,1015.2,1037.99,83506526.0
2024-05-24,1044.49,1064.75,1030.0,1064.6899,42949138.0
2024-05-28,1102.4399,1149.39,1098.83,1139.01,65272724.0
2024-05-29,1130.5,1154.92,1109.01,1148.25,55744191.0
2024-05-30,1146.5,1158.1915,1096.63,1105.0,48735005.0
2024-05-31,1125.2,1127.17,1069.4,1096.33,61326250.0
2024-06-03,1136.21,1150.0,1120.03,1150.0,43839176.0
2024-06-04,1157.16,1166.0,1140.45,1164.37,40331400.0
2024-06-05,1183.71,1224.495,1174.6801,1224.4,52840174.0
2024-06-06,1240.48,1255.87,1183.2,1209.98,66469425.0
2024-06-07,1197.7,1216.9171,1180.22,1208.88,41238499.0
2024-06-10,120.37,123.09,117.01,121.79,314162647.0
2024-06-11,121.77,122.87,118.74,120.91,222551155.0
2024-06-12,123.06,126.88,122.57,125.2,299594865.0
2024-06-13,129.39,129.8,127.16,129.61,260704142.0
2024-06-14,129.96,132.84,128.32,131.88,309320376.0
2024-06-17,132.99,133.73,129.58,130.98,288504441.0
2024-06-18,131.14,136.33,130.69,135.58,294335054.0
2024-06-20,139.8,140.76,129.52,130.78,517768370.0
2024-06-21,127.12,130.63,124.3,126.57,655484576.0
2024-06-24,123.24,124.46,118.04,118.11,476060841.0
2024-06-25,121.2,126.5,119.32,126.09,425787456.0
2024-06-26,126.13,128.12,122.6,126.4,362975910.0
2024-06-27,124.1,126.41,122.92,123.99,252571581.0
2024-06-28,124.58,127.71,122.75,123.54,315516740.0
2024-07-01,123.47,124.84,118.83,124.3,284885524.0
2024-07-02,121.13,123.41,121.03,122.67,218373887.0
