date,ticker,market,foreign_net_shares,institution_net_shares,individual_net_shares,foreign_holding_ratio_pct,close_krw,volume_shares,source,source_url
2025-05-22,000660,KRX,96681,-335302,248028,54.48,196900,1988587,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-23,000660,KRX,358618,-96960,-257326,54.36,200000,1538701,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-26,000660,KRX,-22827,93265,-48444,54.38,203000,1459997,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-27,000660,KRX,56575,90856,-147202,54.39,202500,1424916,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-28,000660,KRX,-10300,875535,-848935,54.4,208000,3161188,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-29,000660,KRX,110522,567661,-675777,54.19,212000,3827689,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-30,000660,KRX,-7473,-328156,334680,54.24,204500,4826628,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-02,000660,KRX,510641,-177220,-314728,54.41,207500,1775752,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-04,000660,KRX,1575416,8167,-1503410,54.81,217500,5108674,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-05,000660,KRX,1048250,39057,-1051758,54.94,224500,5768506,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-09,000660,KRX,418399,-402231,-32404,55.0,229000,3666084,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-10,000660,KRX,-44943,271689,-218612,55.01,230500,3718655,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-11,000660,KRX,824347,192992,-994964,55.18,240000,4230421,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-06-12,000660,KRX,89621,-241388,161244,55.19,235500,4994238,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
