date,ticker,market,foreign_net_shares,institution_net_shares,individual_net_shares,foreign_holding_ratio_pct,close_krw,volume_shares,source,source_url
2025-12-26,000660,KRX,1284236,319114,-1610353,53.74,599000,4243548,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-29,000660,KRX,264373,-168100,-85702,53.82,640000,4176151,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-30,000660,KRX,-127503,-132754,246689,53.83,651000,4094603,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-02,000660,KRX,-128416,-47198,146852,53.81,677000,4181895,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-05,000660,KRX,59550,-12065,-54377,53.82,696000,4337511,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-06,000660,KRX,321880,-81499,-250436,53.88,726000,4830275,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-07,000660,KRX,724258,-95419,-616495,53.98,742000,5693115,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-08,000660,KRX,227086,-193392,-33150,53.97,756000,6496379,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-09,000660,KRX,-958615,186313,736919,53.8,744000,4343703,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-12,000660,KRX,92763,-14095,-94659,53.79,749000,3329793,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-13,000660,KRX,-814130,27927,781871,53.64,738000,3771944,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-14,000660,KRX,-271435,232958,40775,53.58,742000,4885051,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-15,000660,KRX,-247456,405498,-155167,53.54,749000,3003414,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-16,000660,KRX,-145995,278399,-137941,53.5,756000,3712326,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-19,000660,KRX,85587,262924,-365007,53.5,764000,3392008,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-20,000660,KRX,-8458,-246648,244616,53.46,743000,2762369,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-21,000660,KRX,-53204,-3715,47492,53.55,740000,5108442,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-22,000660,KRX,117136,261378,-388506,53.56,755000,3545309,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-23,000660,KRX,98128,271183,-381133,53.56,767000,3508272,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-26,000660,KRX,-405535,-448974,833930,53.51,736000,3133330,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-27,000660,KRX,582225,438568,-1000710,53.6,800000,5660198,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-28,000660,KRX,-87208,-127144,217864,53.56,841000,6708497,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-29,000660,KRX,-862459,36691,780075,53.43,861000,6837983,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-01-30,000660,KRX,-499472,-28240,519066,53.47,909000,7875195,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-02,000660,KRX,-1674898,-546425,2173320,53.21,830000,7634191,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-03,000660,KRX,-486432,931481,-465540,53.14,907000,5272538,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-04,000660,KRX,-920115,250498,657376,53.01,900000,3800763,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-05,000660,KRX,-1611758,-635664,2174228,52.77,842000,5473720,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-06,000660,KRX,-1176821,416711,746217,52.61,839000,5581574,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-09,000660,KRX,-162083,745055,-596622,52.86,887000,4228584,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-10,000660,KRX,75362,75856,-156500,52.87,876000,3441377,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-11,000660,KRX,-426872,-10656,426414,52.83,860000,3125590,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-12,000660,KRX,652529,347583,-999645,53.12,888000,4619344,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-13,000660,KRX,49172,10458,-56759,53.13,880000,3534047,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-19,000660,KRX,-75285,284074,-202652,53.13,894000,3285109,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-20,000660,KRX,745826,72921,-811762,53.47,949000,5054333,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-23,000660,KRX,32226,-260214,217405,54.6,951000,3523887,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-24,000660,KRX,319989,663222,-965905,54.64,1005000,4102382,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-25,000660,KRX,-358288,36642,302437,54.48,1018000,3462525,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-26,000660,KRX,-815306,464747,335039,54.36,1099000,4461976,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-02-27,000660,KRX,-2348958,96220,2201838,54.02,1061000,6453062,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-03,000660,KRX,-1202788,-347059,1500783,53.87,939000,6818327,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-04,000660,KRX,-580742,517751,28934,53.79,849000,9253420,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-05,000660,KRX,315315,-221031,-97472,53.84,941000,6442459,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-06,000660,KRX,-547435,-202897,727994,53.76,924000,3744322,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-09,000660,KRX,-1442096,-350981,1728821,53.54,836000,7253621,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-10,000660,KRX,762536,582050,-1285455,53.69,938000,5304897,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-11,000660,KRX,115049,170469,-275751,53.7,955000,3916098,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-12,000660,KRX,-559182,-365894,891685,53.59,930000,3711742,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-13,000660,KRX,-202144,-326533,506251,53.51,910000,3645102,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-16,000660,KRX,322958,251272,-568711,53.57,974000,3829496,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-17,000660,KRX,-220048,-4283,231215,53.51,970000,3326240,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-18,000660,KRX,578786,866363,-1405141,53.63,1056000,4347884,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-19,000660,KRX,-456883,-149745,568147,53.55,1013000,3347483,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-20,000660,KRX,-718351,88036,618693,53.45,1007000,3426646,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-23,000660,KRX,-180478,-1282055,1412879,53.43,933000,3911813,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-24,000660,KRX,-294231,526567,-224347,53.41,986000,4352152,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-25,000660,KRX,-396644,725005,-304591,53.35,995000,4463869,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-26,000660,KRX,-829562,-370324,1179089,53.21,933000,4660620,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-27,000660,KRX,-1265949,243427,981189,53.05,922000,4520942,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-30,000660,KRX,-1049785,162614,858610,52.88,873000,4498502,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-03-31,000660,KRX,-1112011,155244,909129,52.69,807000,7194351,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-01,000660,KRX,-455717,1021745,-557087,52.62,893000,6255058,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-02,000660,KRX,-83559,-607061,663093,52.57,830000,6127534,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-03,000660,KRX,412740,67109,-478411,52.62,876000,2927164,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-06,000660,KRX,-26152,258981,-254801,52.61,886000,3100989,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-07,000660,KRX,582600,-139047,-437780,52.71,916000,3619929,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-08,000660,KRX,1206748,773525,-1935376,52.9,1033000,6709356,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-09,000660,KRX,-847729,493126,341919,52.79,998000,5026817,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-10,000660,KRX,811131,-287512,-513612,52.91,1027000,3134921,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-13,000660,KRX,442600,18357,-466094,52.98,1040000,2769753,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-14,000660,KRX,773177,333618,-1085978,53.08,1103000,4754545,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-15,000660,KRX,-269551,-184890,448683,53.04,1136000,4093703,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-16,000660,KRX,-404139,128696,278790,52.97,1155000,2901319,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-17,000660,KRX,-581803,-330268,883762,52.87,1128000,3578235,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-20,000660,KRX,525288,105359,-620085,52.96,1166000,3748014,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-21,000660,KRX,93524,134454,-230711,53.06,1224000,3516960,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-22,000660,KRX,-273549,-164240,429131,53.05,1223000,2894919,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-23,000660,KRX,-123488,-129744,251014,53.12,1225000,5343871,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-24,000660,KRX,-675246,99414,564000,53.01,1222000,3127857,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-27,000660,KRX,708461,388647,-1099289,53.1,1292000,4563073,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-28,000660,KRX,-310904,-13291,310133,53.04,1300000,3002713,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-29,000660,KRX,-419452,-14950,419688,52.92,1293000,3001208,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-04-30,000660,KRX,-19831,74538,-54467,53.0,1286000,3342342,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-04,000660,KRX,1229124,707441,-1894487,53.22,1447000,5776641,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-06,000660,KRX,117563,-127899,76027,53.23,1601000,6631934,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-07,000660,KRX,-1567838,292253,1260982,53.01,1654000,5860618,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-08,000660,KRX,-1074329,181374,874574,52.87,1686000,4278087,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-11,000660,KRX,-454579,26698,433679,52.78,1880000,7433039,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-12,000660,KRX,-1634593,-495350,2106911,52.51,1835000,9160593,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-13,000660,KRX,-917859,465314,461875,52.37,1976000,7126921,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-14,000660,KRX,-815209,-216196,998462,52.36,1970000,6040068,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-15,000660,KRX,-1391973,-497490,1855635,52.14,1819000,7485233,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-18,000660,KRX,-559756,267189,292885,52.06,1840000,6481608,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-19,000660,KRX,-1128221,-122347,1224285,51.87,1745000,4575855,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-20,000660,KRX,-704213,240569,447712,51.76,1745000,5535123,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-21,000660,KRX,-419491,738512,-337068,51.66,1940000,5096690,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-22,000660,KRX,-158042,152990,1150,51.61,1941000,3135190,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-26,000660,KRX,-108495,386967,-271309,51.62,2052000,4903591,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-27,000660,KRX,-18203,529897,-481602,51.65,2243000,7545783,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-28,000660,KRX,-784789,22893,725316,51.5,2289000,6229499,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-05-29,000660,KRX,-437330,-42513,473879,51.44,2333000,8518013,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-01,000660,KRX,-729059,859988,-125982,51.34,2363000,5602897,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-02,000660,KRX,-416517,90158,333746,51.3,2360000,5837216,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-04,000660,KRX,-316443,114049,186685,51.27,2298000,3941067,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-05,000660,KRX,-606860,-411774,963408,51.16,2070000,5778751,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-08,000660,KRX,-154732,-86029,215796,51.15,1911000,6610833,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-09,000660,KRX,-626165,854714,-241245,51.09,2215000,5878039,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-10,000660,KRX,-273910,-702023,947987,51.05,2048000,4928269,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-11,000660,KRX,260726,-513455,230341,51.1,2101000,6625775,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-12,000660,KRX,573440,-270178,-276904,51.19,2150000,5286416,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-15,000660,KRX,180233,165238,-337306,51.23,2288000,3872910,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-16,000660,KRX,351894,238957,-582133,51.29,2382000,3644469,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-17,000660,KRX,74908,341331,-399329,51.3,2521000,3980010,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-18,000660,KRX,25375,38559,-35111,51.31,2685000,5808765,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-19,000660,KRX,-317848,259188,74603,51.25,2764000,7478195,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-22,000660,KRX,-502831,419974,75039,51.15,2919000,5179795,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-23,000660,KRX,-937255,-925092,1858226,50.99,2555000,8050335,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-24,000660,KRX,-1407204,343532,1036807,50.78,2580000,7487916,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-25,000660,KRX,-113276,865177,-716876,50.77,2917000,6790853,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-26,000660,KRX,-847969,-1065176,1864496,50.63,2673000,7467492,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-29,000660,KRX,-1268744,276941,961633,50.44,2628000,5217788,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-06-30,000660,KRX,-602006,284306,307584,50.36,2650000,5109213,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-01,000660,KRX,-3130,-308954,301483,50.4,2560000,4277276,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-02,000660,KRX,-687600,-1372901,2005417,50.28,2187000,7685914,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-03,000660,KRX,-745377,1071876,-344055,50.17,2425000,7984914,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-06,000660,KRX,-27696,-584423,586434,50.17,2343000,4235360,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-07,000660,KRX,-542009,-23811,553638,50.06,2201000,6351195,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-08,000660,KRX,88312,-285353,178421,50.05,2076000,6975631,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-09,000660,KRX,-209485,404365,-179724,50.01,2186000,6261504,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-10,000660,KRX,-768843,204193,550090,49.87,2180000,4827239,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-13,000660,KRX,-704671,-781727,1440630,49.77,1845000,8040043,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-14,000660,KRX,664541,697670,-1357280,49.88,1913000,10447011,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-15,000660,KRX,331145,265930,-582862,52.44,2082000,6046951,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-16,000660,KRX,-469637,-628785,1067656,52.37,1842000,5608812,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-20,000660,KRX,331597,-527040,180897,52.4,1764000,5876444,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-21,000660,KRX,-237417,366154,-116422,52.39,1836000,4639208,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-22,000660,KRX,640418,-564978,-85833,52.5,1830000,4802637,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2026-07-23,000660,KRX,689697,-148136,-529529,52.6,1919000,4119477,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
