date,open,high,low,close,volume
2025-06-20,46.98,48.21,44.76,46.58,4762719.0
2025-06-23,46.36,48.25,45.8036,46.95,1791589.0
2025-06-24,47.18,48.75,46.71,47.34,1740790.0
2025-06-25,47.34,48.16,47.05,47.25,2357801.0
2025-06-26,49.595,49.82,47.07,47.44,3449688.0
2025-06-27,47.23,47.74,46.19,47.15,3623881.0
2025-06-30,47.23,47.34,45.33,45.35,3034356.0
2025-07-01,45.7,45.915,44.3,44.96,2893315.0
2025-07-02,44.52,46.24,44.17,46.21,3509648.0
2025-07-03,46.095,47.32,45.89,46.41,1420256.0
2025-07-07,47.14,47.235,45.09,45.22,2446259.0
2025-07-08,46.12,47.25,45.61,46.17,2347123.0
2025-07-09,46.12,47.09,45.9845,46.2,1575182.0
2025-07-10,47.37,47.75,46.62,46.95,1734253.0
2025-07-11,46.29,47.415,45.8249,46.09,1242124.0
2025-07-14,44.63,44.85,41.46,42.48,5487217.0
2025-07-15,42.8,43.45,42.515,42.72,2398130.0
2025-07-16,42.76,42.96,40.3,41.36,2338482.0
2025-07-17,41.4,42.26,41.04,41.52,2290085.0
2025-07-18,41.54,42.285,40.84,42.19,1678588.0
2025-07-21,41.728,42.28,40.55,41.61,2174337.0
2025-07-22,41.51,41.98,40.89,41.36,1846707.0
2025-07-23,41.06,43.65,41.06,43.0,2220752.0
2025-07-24,43.08,43.5,42.03,42.06,1347071.0
2025-07-25,42.48,42.605,41.5,42.48,869223.0
2025-07-28,43.08,43.24,41.57,41.89,851340.0
2025-07-29,42.26,43.19,41.6766,42.93,1202589.0
2025-07-30,42.07,43.47,42.07,43.39,1334664.0
2025-07-31,43.73,44.62,42.2425,42.92,1849196.0
2025-08-01,42.18,42.225,40.1,41.33,1661537.0
2025-08-04,42.11,42.54,41.6,42.51,1540021.0
2025-08-05,42.53,43.395,41.37,41.93,1422830.0
2025-08-06,42.72,43.0,41.615,42.1,1553767.0
2025-08-07,42.0,42.35,40.53,40.69,2207074.0
2025-08-08,41.41,44.85,41.0,44.34,3516806.0
2025-08-11,45.7,46.35,43.17,43.37,3095133.0
2025-08-12,45.21,47.86,45.0,46.83,3339701.0
2025-08-13,47.02,48.46,46.8,47.01,2348490.0
2025-08-14,46.43,47.2637,46.08,46.68,3549345.0
2025-08-15,43.06,46.13,42.82,44.54,7519512.0
2025-08-18,44.25,45.87,44.25,45.52,2541729.0
2025-08-19,46.23,46.5,44.26,44.58,2372939.0
2025-08-20,44.86,45.0,43.2016,44.4,1526995.0
2025-08-21,43.87,45.6,43.56,45.5,1802282.0
2025-08-22,46.11,47.19,45.63,46.37,2208268.0
2025-08-25,46.36,46.88,46.01,46.78,1318226.0
2025-08-26,46.75,48.21,46.75,47.35,2577798.0
2025-08-27,47.4,49.08,47.4,48.44,2145245.0
2025-08-28,48.56,51.23,48.56,50.87,2919248.0
2025-08-29,51.15,52.94,50.82,52.47,4227906.0
2025-09-02,51.01,51.7,50.07,51.07,2023448.0
2025-09-03,51.92,53.225,50.65,53.01,1689662.0
2025-09-04,55.67,62.65,55.55,62.51,10189014.0
2025-09-05,65.52,68.67,63.74,68.55,9049875.0
