date,open,high,low,close,volume
2024-09-30,108.75,109.61,107.81,109.53,1600707.0
2024-10-01,109.27,109.27,106.5011,107.82,2154980.0
2024-10-02,108.06,110.0,107.2,108.56,1476913.0
2024-10-03,108.04,109.42,107.82,108.8,1135069.0
2024-10-04,109.88,109.88,106.36,107.24,1447821.0
2024-10-07,106.09,106.6153,104.52,106.13,1871054.0
2024-10-08,106.97,108.95,106.5,108.65,1551421.0
2024-10-09,109.1,109.39,105.55,109.29,3410454.0
2024-10-10,107.75,108.73,106.51,108.12,1255879.0
2024-10-11,107.98,109.89,107.94,109.81,1055127.0
2024-10-14,110.0,111.42,108.8366,111.06,1618933.0
2024-10-15,112.04,115.32,111.37,111.79,2511080.0
2024-10-16,111.23,112.87,110.62,111.73,1238037.0
2024-10-17,112.38,113.31,111.99,112.45,1728309.0
2024-10-18,112.65,114.67,111.7,112.12,1950876.0
2024-10-21,111.61,112.58,109.32,112.41,2419128.0
2024-10-22,111.9,112.75,110.33,112.64,3166065.0
2024-10-23,105.74,107.8,102.46,103.52,8773646.0
2024-10-24,104.53,105.08,102.35,103.98,2746507.0
2024-10-25,104.22,105.65,102.92,103.01,2485714.0
2024-10-28,103.77,103.89,101.03,101.32,2767040.0
2024-10-29,101.36,101.71,100.19,101.33,2014250.0
2024-10-30,100.97,101.2999,98.94,99.79,2862318.0
2024-10-31,99.42,101.21,98.91,100.37,2708436.0
2024-11-01,99.59,100.9833,98.66,99.11,2001953.0
2024-11-04,98.83,101.27,98.83,99.89,1961236.0
2024-11-05,100.21,101.87,100.025,101.65,1519409.0
2024-11-06,103.97,104.8,102.58,102.98,2411496.0
2024-11-07,103.78,105.28,102.98,105.11,1953325.0
2024-11-08,105.47,106.24,104.19,104.78,1329680.0
2024-11-11,104.69,104.82,101.61,101.84,1633377.0
2024-11-12,100.92,102.24,98.75,99.8,2064799.0
2024-11-13,99.87,100.6496,98.21,98.27,1630335.0
2024-11-14,97.73,98.76,96.99,97.46,1814435.0
2024-11-15,96.92,97.545,96.41,96.79,1926370.0
2024-11-18,97.39,97.545,96.34,97.02,1384454.0
2024-11-19,96.99,97.83,96.1,97.8,1766470.0
2024-11-20,98.0,98.43,96.58,98.02,1875625.0
2024-11-21,98.75,100.21,98.07,99.92,1744754.0
2024-11-22,100.4,100.6599,99.17,99.62,2675653.0
2024-11-25,101.0,103.39,100.806,101.36,4038917.0
2024-11-26,101.92,103.17,101.25,101.66,2412506.0
2024-11-27,101.32,101.41,98.6308,100.0,1799195.0
2024-11-29,100.0,102.32,99.97,101.33,1440370.0
2024-12-02,101.82,105.12,101.44,103.16,2476824.0
2024-12-03,102.05,102.7216,97.91,98.8,3266875.0
2024-12-04,99.99,100.22,94.97,97.63,4572135.0
2024-12-05,98.03,99.4,97.87,98.18,2285579.0
2024-12-06,98.18,99.09,97.61,98.51,2720247.0
2024-12-09,98.43,99.9,98.1,98.97,2436869.0
2024-12-10,98.85,98.94,96.77,97.59,2812642.0
2024-12-11,97.95,99.13,96.57,98.39,2555547.0
2024-12-12,98.46,100.18,97.115,97.64,2834628.0
2024-12-13,97.58,98.31,95.52,95.75,4937998.0
2024-12-16,95.32,97.15,95.04,95.58,3552532.0
2024-12-17,94.8,96.4599,94.09,94.49,2406172.0
2024-12-18,94.6,95.31,91.52,91.6,3132142.0
2024-12-19,91.6,92.11,87.41,87.54,4521922.0
2024-12-20,88.09,89.01,86.87,87.31,6072250.0
2024-12-23,87.46,88.62,87.3,88.53,2106773.0
2024-12-24,88.32,89.125,88.03,88.49,1141341.0
2024-12-26,88.73,89.17,88.146,88.4,1382930.0
2024-12-27,87.94,88.825,87.0,87.39,1611394.0
2024-12-30,86.68,86.855,85.25,86.53,1731190.0
2024-12-31,86.59,87.22,85.73,86.31,1458423.0
2025-01-02,87.21,87.54,85.785,86.39,2046449.0
2025-01-03,86.92,89.18,86.785,89.15,2352786.0
2025-01-06,90.32,91.59,88.75,89.11,2499319.0
2025-01-07,89.83,90.89,89.27,89.6,2379502.0
2025-01-08,89.27,89.43,87.89,88.69,3189021.0
2025-01-10,87.44,88.99,86.64,88.87,2201867.0
2025-01-13,87.55,89.7,86.97,88.93,2715697.0
2025-01-14,89.36,91.745,89.1003,91.23,3252453.0
2025-01-15,92.13,94.98,92.13,94.34,3853465.0
2025-01-16,94.38,95.82,93.7,95.07,3820478.0
2025-01-17,96.6,97.93,95.6,97.67,5656269.0
2025-01-21,99.85,102.54,99.215,101.25,6545056.0
2025-01-22,108.63,111.905,105.86,108.18,9813878.0
2025-01-23,107.41,108.53,105.9197,108.42,3602118.0
2025-01-24,108.74,110.24,107.6,108.19,3320698.0
2025-01-27,105.1,107.0,102.32,103.48,4188530.0
2025-01-28,104.02,104.03,98.82,100.27,3460789.0
2025-01-29,101.48,102.03,99.09,99.38,2548154.0
2025-01-30,101.15,101.42,97.95,98.28,4212723.0
2025-01-31,98.095,99.99,96.27,96.36,2799358.0
2025-02-03,94.6,95.63,92.91,93.48,3437012.0
2025-02-04,92.88,94.79,92.68,94.51,2909656.0
2025-02-05,94.62,96.13,94.165,95.43,2681130.0
2025-02-06,96.1,96.78,95.63,96.54,2300996.0
2025-02-07,97.06,98.25,95.46,96.15,1976068.0
2025-02-10,97.41,98.2,96.7137,97.8,1946156.0
2025-02-11,97.225,99.36,97.187,97.83,2133877.0
2025-02-12,96.72,100.66,96.1001,99.21,3385223.0
2025-02-13,99.39,102.74,99.39,101.48,2554971.0
2025-02-14,102.15,102.4,100.62,101.47,2235088.0
2025-02-18,102.56,103.29,100.94,103.1,2365431.0
