date,turnover,vol_share,extension,momentum,rsi,volatility,basket_corr,score,close,dollar_vol,raw_turnover_ratio,raw_vol_share,raw_extension,raw_momentum_60d,raw_rsi14,raw_realized_vol20,raw_basket_corr
2025-11-03,,100.0,89.6825,,75.4362,85.1613,32.0488,75.8023,207.01,2199673148.27,3.4436,0.0237,0.8126,3.6687,75.4362,117.8927,0.3205
2025-11-04,,100.0,74.8031,,67.6752,87.1795,41.3316,72.864,194.57,1906849818.96,3.5116,0.0247,0.6607,3.4863,67.6752,121.7005,0.4133
2025-11-05,,100.0,86.7188,,72.9571,87.2611,36.6697,76.0416,216.5,2237778423.5,3.5838,0.0257,0.796,3.6231,72.9571,123.2901,0.3667
2025-11-06,100.0,100.0,75.1938,,68.1401,87.3418,37.3292,77.1217,207.69,2160498548.04,3.7088,0.0269,0.6786,3.418,68.1401,124.7008,0.3733
2025-11-07,100.0,100.0,94.6154,100.0,74.6454,86.1635,41.7429,85.5736,239.48,4921805891.92,3.963,0.0317,0.8783,4.1302,74.6454,121.9692,0.4174
2025-11-10,100.0,100.0,100.0,100.0,78.817,83.125,46.6769,87.352,267.95,4093308700.5,4.1182,0.0345,1.0328,5.0159,78.817,119.0842,0.4668
2025-11-11,100.0,100.0,99.2424,99.1736,79.2849,80.1242,42.246,86.0085,271.58,3308070626.14,4.2397,0.0375,0.9937,4.9662,79.2849,114.5649,0.4225
2025-11-12,100.0,100.0,99.2481,100.0,80.7392,75.3086,41.1224,85.3882,283.1,3886906663.1,4.3452,0.0404,1.0103,5.3504,80.7392,109.8358,0.4112
2025-11-13,100.0,100.0,73.1343,97.561,64.1078,89.5706,43.5625,80.6417,243.57,5669070072.27,4.5745,0.0453,0.6863,4.4858,64.1078,127.5017,0.4356
2025-11-14,100.0,100.0,74.0741,97.5806,66.1212,87.8049,41.6827,80.4872,254.16,4947044454.72,4.7252,0.0489,0.7155,4.5859,66.1212,125.9202,0.4168
2025-11-17,100.0,100.0,77.9412,97.6,68.2442,87.2727,42.2428,81.48,265.88,3778512408.6,4.8303,0.0507,0.7485,4.7339,68.2442,125.7136,0.4224
2025-11-18,100.0,100.0,65.6934,95.2381,60.8978,90.3614,46.0359,78.9738,244.93,4025123531.03,4.9726,0.0521,0.5746,4.2358,60.8978,131.6676,0.4604
2025-11-19,100.0,100.0,63.7681,94.4882,61.1194,89.8204,46.2988,78.4567,245.96,2952843510.76,5.0233,0.0534,0.547,4.1945,61.1194,131.0406,0.463
2025-11-20,100.0,100.0,54.6763,85.1562,47.1499,100.0,43.9797,75.0206,195.96,5210745121.56,5.1266,0.0536,0.2154,3.0454,47.1499,153.0756,0.4398
2025-11-21,100.0,100.0,56.4286,84.4961,48.2479,99.4083,40.9108,74.8328,200.27,4017612264.33,5.142,0.0539,0.2248,2.9369,48.2479,148.5681,0.4091
2025-11-24,98.4733,100.0,60.9929,86.9231,54.5459,99.4118,43.8072,76.9455,226.96,3131797209.2,5.1258,0.0544,0.3652,3.3255,54.5459,152.9279,0.4381
2025-11-25,100.0,100.0,60.5634,86.2595,52.8689,100.0,43.185,76.8162,220.5,3237065464.5,5.1446,0.0552,0.3061,3.3176,52.8689,153.519,0.4318
