date,close,score,pos
2025-12-17,206.83,55.262,1.0
2025-12-18,219.46,57.95,1.0
2025-12-19,237.61,57.743,1.0
2025-12-22,241.05,56.9,1.0
2025-12-23,244.9,55.305,1.0
2025-12-24,250.08,56.367,1.0
2025-12-26,250.05,53.964,1.0
2025-12-29,244.25,51.244,1.0
2025-12-30,240.22,50.024,1.0
2025-12-31,237.38,49.497,1.0
2026-01-02,275.24,60.067,1.0
2026-01-05,274.08,57.93,1.0
2026-01-06,349.63,67.471,1.0
2026-01-07,353.56,68.106,1.0
2026-01-08,334.54,66.54,1.0
2026-01-09,377.41,70.54,1.0
2026-01-12,389.27,70.36,1.0
2026-01-13,389.81,67.943,1.0
2026-01-14,387.81,67.901,1.0
2026-01-15,409.24,69.419,1.0
2026-01-16,413.62,70.484,1.0
2026-01-20,453.12,74.281,1.0
2026-01-21,501.29,77.346,1.0
2026-01-22,503.44,76.822,1.0
2026-01-23,473.83,73.763,1.0
2026-01-26,470.8,73.344,1.0
2026-01-27,481.43,72.904,1.0
2026-01-28,527.63,77.434,1.0
2026-01-29,539.3,78.283,1.0
2026-01-30,576.25,80.664,1.0
2026-02-02,665.24,81.398,1.0
2026-02-03,695.51,80.979,1.0
2026-02-04,584.55,73.8,1.0
2026-02-05,576.2,70.756,1.0
2026-02-06,597.95,69.691,1.0
2026-02-09,583.4,66.938,1.0
2026-02-10,541.64,64.075,1.0
2026-02-11,599.34,69.8,1.0
2026-02-12,630.29,70.985,1.0
2026-02-13,626.56,69.651,1.0
2026-02-17,590.59,68.084,1.0
2026-02-18,600.4,67.649,1.0
2026-02-19,621.09,69.682,1.0
2026-02-20,649.97,70.558,1.0
2026-02-23,666.49,68.754,1.0
2026-02-24,638.52,67.262,1.0
2026-02-25,632.38,67.002,1.0
2026-02-26,651.9,66.167,1.0
2026-02-27,635.36,65.318,1.0
2026-03-02,619.08,64.494,1.0
2026-03-03,565.41,61.63,1.0
2026-03-04,599.06,61.647,1.0
2026-03-05,565.59,54.022,1.0
2026-03-06,527.33,51.85,1.0
2026-03-09,588.73,56.875,1.0
2026-03-10,618.89,58.403,1.0
2026-03-11,655.43,60.339,1.0
2026-03-12,618.82,58.567,1.0
2026-03-13,661.62,61.408,1.0
2026-03-16,703.63,63.138,1.0
2026-03-17,720.17,62.86,1.0
2026-03-18,753.69,62.835,1.0
2026-03-19,772.09,61.978,1.0
2026-03-20,709.71,59.222,1.0
2026-03-23,702.49,57.893,1.0
2026-03-24,702.48,56.797,1.0
2026-03-25,677.86,54.241,1.0
2026-03-26,603.17,49.198,1.0
2026-03-27,615.83,50.574,1.0
2026-03-30,572.5,46.07,1.0
2026-03-31,635.34,48.497,1.0
2026-04-01,692.73,54.596,1.0
2026-04-02,701.59,52.862,1.0
2026-04-06,724.63,53.928,1.0
2026-04-07,710.8,52.824,1.0
2026-04-08,780.9,57.361,1.0
2026-04-09,851.57,60.309,1.0
2026-04-10,851.77,59.768,1.0
2026-04-13,952.5,63.262,1.0
2026-04-14,944.46,61.853,1.0
2026-04-15,891.72,60.129,1.0
2026-04-16,919.47,59.676,1.0
2026-04-17,920.99,59.156,1.0
2026-04-20,913.02,57.897,1.0
2026-04-21,903.49,57.127,1.0
2026-04-22,979.07,60.214,1.0
2026-04-23,932.43,57.601,1.0
2026-04-24,989.9,55.324,1.0
2026-04-27,1070.2,57.509,1.0
2026-04-28,1002.35,53.758,1.0
2026-04-29,1064.21,54.376,1.0
2026-04-30,1096.51,52.515,1.0
2026-05-01,1187.0,56.065,1.0
2026-05-04,1255.86,58.626,1.0
2026-05-05,1406.32,63.327,1.0
2026-05-06,1409.98,62.313,1.0
2026-05-07,1339.96,60.873,1.0
2026-05-08,1562.34,67.372,1.0
2026-05-11,1547.56,65.646,1.0
2026-05-12,1452.02,63.115,1.0
2026-05-13,1447.23,62.156,1.0
2026-05-14,1382.72,59.291,1.0
2026-05-15,1407.61,59.109,1.0
2026-05-18,1333.01,56.845,1.0
2026-05-19,1383.29,57.78,1.0
2026-05-20,1392.56,57.543,1.0
2026-05-21,1542.24,62.764,1.0
2026-05-22,1478.69,60.647,1.0
2026-05-26,1589.55,64.062,1.0
2026-05-27,1589.94,62.443,1.0
2026-05-28,1641.64,64.844,1.0
2026-05-29,1694.98,64.779,1.0
2026-06-01,1761.43,66.26,1.0
2026-06-02,1716.36,64.898,1.0
2026-06-03,1831.5,64.104,1.0
2026-06-04,1759.68,60.989,1.0
2026-06-05,1559.32,57.001,1.0
2026-06-08,1642.0,56.041,1.0
2026-06-09,1646.54,54.537,1.0
2026-06-10,1643.23,52.093,1.0
2026-06-11,1881.51,59.117,1.0
2026-06-12,1980.1,60.082,1.0
2026-06-15,2107.86,62.912,1.0
2026-06-16,1991.55,59.583,1.0
2026-06-17,1958.8,59.114,1.0
2026-06-18,2184.75,64.951,1.0
2026-06-22,2273.73,65.253,1.0
2026-06-23,1963.6,63.425,1.0
2026-06-24,1914.46,60.728,1.0
2026-06-25,2335.0,71.179,1.0
2026-06-26,2090.71,67.956,1.0
2026-06-29,2050.39,65.292,1.0
2026-06-30,2273.73,68.567,1.0
2026-07-01,2032.22,64.521,1.0
2026-07-02,1745.0,57.478,1.0
2026-07-06,1744.43,55.581,1.0
2026-07-07,1617.7,49.774,1.0
