date,close,score,pos
2024-01-26,58.23,75.752,1.0
2024-01-29,59.75,76.724,1.0
2024-01-30,58.12,75.084,1.0
2024-01-31,57.25,74.039,1.0
2024-02-01,57.4,72.964,1.0
2024-02-02,58.16,73.772,1.0
2024-02-05,58.47,74.026,1.0
2024-02-06,58.45,73.197,1.0
2024-02-07,57.94,71.467,1.0
2024-02-08,57.12,69.796,1.0
2024-02-09,56.82,69.11,1.0
2024-02-12,57.32,69.465,1.0
2024-02-13,55.34,63.092,1.0
2024-02-14,56.08,64.957,1.0
2024-02-15,56.01,64.36,1.0
2024-02-16,54.0,59.412,1.0
2024-02-20,54.13,57.538,1.0
2024-02-21,53.39,53.228,1.0
2024-02-22,55.7,62.79,1.0
2024-02-23,56.06,60.557,1.0
2024-02-26,57.08,62.701,1.0
2024-02-27,57.48,62.144,1.0
2024-02-28,57.46,60.104,1.0
2024-02-29,59.47,64.953,1.0
2024-03-01,64.3,76.083,1.0
2024-03-04,64.32,76.488,1.0
2024-03-05,63.49,75.416,1.0
2024-03-06,64.7,76.142,1.0
2024-03-07,64.28,74.788,1.0
2024-03-08,63.0,72.099,1.0
2024-03-11,62.05,71.284,1.0
2024-03-12,62.97,72.18,1.0
2024-03-13,62.48,69.923,1.0
2024-03-14,60.8,68.254,1.0
2024-03-15,59.79,65.193,1.0
2024-03-18,59.31,62.521,1.0
2024-03-19,59.81,63.991,1.0
2024-03-20,60.72,63.789,1.0
2024-03-21,63.74,72.26,1.0
2024-03-22,63.94,71.986,1.0
2024-03-25,64.98,73.322,1.0
2024-03-26,68.15,78.381,1.0
2024-03-27,67.64,78.135,1.0
2024-03-28,68.24,78.468,1.0
2024-04-01,70.85,76.661,1.0
2024-04-02,68.83,75.275,1.0
2024-04-03,71.62,77.164,1.0
2024-04-04,70.54,76.062,1.0
2024-04-05,73.11,77.691,1.0
2024-04-08,72.95,77.373,1.0
2024-04-09,72.65,76.344,1.0
2024-04-10,72.25,76.201,1.0
2024-04-11,73.9,76.768,1.0
2024-04-12,72.06,74.941,1.0
2024-04-15,70.43,72.922,1.0
2024-04-16,71.06,73.151,1.0
2024-04-17,70.17,71.396,1.0
2024-04-18,68.32,68.563,1.0
2024-04-19,66.05,62.183,1.0
2024-04-22,67.05,60.952,1.0
2024-04-23,69.92,69.411,1.0
2024-04-24,69.55,65.596,1.0
